Image Index,Patient ID,Finding Labels,asinan-jakarta,ayam-betutu,ayam-bumbu-rujak,ayam-goreng-lengkuas,bika-ambon,bir-pletok,bubur-manado,cendol,es-dawet,gado-gado,gudeg,gulai-ikan-mas,keladi,kerak-telor,klappertart,kolak,kue-lumpur,kunyit-asam,laksa-bogor,lumpia-semarang,mie-aceh,nagasari,nasi-goreng-kampung,papeda,pempek-palembang,rawon-surabaya,rendang,rujak-cingur,sate-ayam-madura,sate-lilit,sate-maranggi,soerabi,soto-ayam-lamongan,soto-banjar,tahu-telur
IMG_6886.jpg,1,gado-gado,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_7701.jpg,1,soto-banjar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IMG_7023.jpg,1,rujak-cingur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IMG_7407.jpg,1,kue-lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_7569.jpg,1,soto-banjar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IMG_7216.jpg,1,kue-lumpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_7629.jpg,1,rawon-surabaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
IMG_7540.jpg,1,lumpia-semarang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_8873.jpg,1,gulai-ikan-mas,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_6912.jpg,1,rujak-cingur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IMG_8743.jpg,1,keladi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_7930.jpg,1,asinan-jakarta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_8817.jpg,1,keladi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_8183.jpg,1,kerak-telor,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMG_7352.jpg,1,bika-ambon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
